timestamp px py pz qx qy qz qw
1532199847.934523106 -0.059256796 0.117981764 0.334623096 -0.098809914 0.030493895 -0.175025434 0.979118390
1532199848.926734447 -0.071539486 0.097424619 0.369099891 -0.102197714 -0.026870576 -0.130589860 0.985788967
1532199849.523064852 -0.068452327 0.089614909 0.393677503 -0.117196272 -0.015149083 -0.095489610 0.988391255
1532199851.063812017 -0.122189768 0.033060623 0.516240758 -0.112878602 -0.056205917 -0.069106656 0.989607794
1532199851.759387016 -0.124138873 0.026102180 0.637299509 -0.124469170 -0.058059211 -0.092019267 0.986239833
1532199851.958894730 -0.124995979 0.022784711 0.674536965 -0.122600498 -0.064002594 -0.088353879 0.986441269
1532199853.448758364 -0.093450732 -0.014964443 0.890054617 -0.093998373 -0.042988834 -0.065548394 0.992481574
1532199853.896485090 -0.082297400 0.002998779 0.948201280 -0.101159839 -0.037858078 -0.061875712 0.992222177
1532199854.393150330 -0.087928551 0.007894108 1.029329552 -0.099883960 -0.051844641 -0.056207565 0.992056469
1532199855.038357735 -0.064289456 0.027298557 1.129779682 -0.100974777 -0.047524442 -0.062844074 0.991764158
1532199855.685602665 -0.044375808 0.030978043 1.232366560 -0.091209014 -0.039831843 -0.054259197 0.993554367
1532199856.430252314 -0.038888883 0.043657317 1.339357011 -0.107650117 -0.033844684 -0.073431578 0.990895450
1532199857.473928213 -0.040563722 0.056437219 1.495871992 -0.099306745 -0.033311339 -0.082045710 0.991108988
1532199858.018997908 -0.037338037 0.083807251 1.554270632 -0.093756329 -0.030207320 -0.071567750 0.992559986
1532199858.317948341 -0.030533735 0.110595391 1.591437646 -0.101029569 -0.029094043 -0.072595153 0.991804672
1532199858.714679956 -0.011513249 0.157496110 1.621246075 -0.115647091 -0.021861800 -0.080633192 0.989770731
1532199858.863220930 -0.003991269 0.174167698 1.632060830 -0.118065003 -0.018253841 -0.080934833 0.989533731
1532199859.707823038 0.048707077 0.284564812 1.686975787 -0.127903231 0.003536521 -0.081300722 0.988442436
1532199860.651775360 0.067494828 0.403087938 1.712950487 -0.126664612 0.023298596 -0.089738313 0.987603304
1532199861.098932266 0.063431003 0.446878621 1.721518570 -0.129066215 0.021465720 -0.080539204 0.988126799
1532199861.990646839 0.056589614 0.508475644 1.768434596 -0.110330806 0.017612946 -0.067316179 0.991456217
1532199862.586575031 0.074227486 0.545978486 1.788759934 -0.084864987 0.032138647 -0.054154042 0.994400513
1532199863.233418465 0.073808270 0.611636287 1.785918914 -0.090712833 0.026593223 -0.056438330 0.993920871
1532199863.630082369 0.076691259 0.650593960 1.778538314 -0.101920382 0.015299136 -0.056898985 0.993046161
1532199864.177325726 0.102572639 0.693254839 1.770906727 -0.114930634 0.009388295 -0.053605587 0.991881672
