Left [ns] , Right [ns] , Common [ns]
1579097784430609100,1579097784430690400,1579097784430649856
1579097784497814900,1579097784497896200,1579097784497855488
1579097784564987400,1579097784565068700,1579097784565028096
1579097784630138200,1579097784630219600,1579097784630178816
1579097784697303400,1579097784697384700,1579097784697344000
1579097784764462900,1579097784764544200,1579097784764503552
1579097784829609800,1579097784829691100,1579097784829650432
1579097784896778100,1579097784896859400,1579097784896818688
1579097784963950000,1579097784964031300,1579097784963990528
1579097785031127700,1579097785031209000,1579097785031168256
1579097785096277700,1579097785096359100,1579097785096318464
1579097785163448100,1579097785163529400,1579097785163488768
1579097785230616300,1579097785230697600,1579097785230657024
1579097785295777300,1579097785295858600,1579097785295817984
1579097785362950600,1579097785363031900,1579097785362991360
1579097785430166400,1579097785430247700,1579097785430206976
1579097785497338900,1579097785497420300,1579097785497379584
1579097785562473500,1579097785562554900,1579097785562514176
1579097785629624300,1579097785629705700,1579097785629665024
1579097785696784700,1579097785696866100,1579097785696825344
1579097785761945600,1579097785762026900,1579097785761986304
1579097785829096500,1579097785829177800,1579097785829137152
1579097785896265300,1579097785896346700,1579097785896305920
1579097785963437000,1579097785963518300,1579097785963477760
1579097786028592600,1579097786028673900,1579097786028633344
1579097786095767500,1579097786095848800,1579097786095808256
1579097786162936400,1579097786163017800,1579097786162977024
1579097786228077100,1579097786228158400,1579097786228117760
1579097786295242600,1579097786295323900,1579097786295283200
1579097786362433100,1579097786362514400,1579097786362473728
1579097786429590700,1579097786429672100,1579097786429631488
1579097786494735400,1579097786494816800,1579097786494776064
1579097786561898400,1579097786561979700,1579097786561938944
1579097786629054400,1579097786629135700,1579097786629095168
1579097786694193300,1579097786694274700,1579097786694234112
1579097786761377000,1579097786761458400,1579097786761417728
1579097786828557300,1579097786828638700,1579097786828598016
1579097786895738900,1579097786895820300,1579097786895779584
1579097786960897600,1579097786960979000,1579097786960938240
1579097787028085500,1579097787028166900,1579097787028126208
1579097787095269100,1579097787095350500,1579097787095309824
1579097787160441200,1579097787160522600,1579097787160481792
